Bobono;5.414593639575972
Mirri Maz Duur;5.310835509138377
Osha;5.328571428571429
Unella;5.3769014084507045
Farlen;5.33220430107527
Jeor Mormont;5.315782312925167
Qhorin;5.342573138297873
Arya Stark;5.305582895236038
Jory Cassel;5.272911208151381
Yara Greyjoy;5.371795233615545
Bowen Marsh;5.341789577187806
Warlocks;5.314717668488155
Lord of Bones;5.281125827814568
Gregor Clegane;5.239310810810815
Mirelle;5.5104999999999995
Doreah;5.368389121338913
Areo Hotah;5.343352692713834
Lommy;5.234585218702867
Qhono;5.252258469259724
Lyanna Mormont;5.378858820525904
Illyrio Mopatis;5.369087018544939
Kegs;5.272720306513409
Walda Bolton;5.532455429497564
High Sparrow;5.3867096604369555
Missandei;5.296265347260396
Karl Tanner;5.2507894736842085
Kinvara;5.362094955489616
Malko;5.293968023255813
Davos Seaworth;5.307341203510249
Faceless Men;5.244369747899161
Drennan;5.391562499999999
Aerys II Targaryen;5.2543340721337914
Lem;5.240018691588783
Myrcella Baratheon;5.378200535309872
Meryn Trant;5.283493322203665
Armeca;5.413219814241484
Red Priest;5.3114754098360715
Gendry Baratheon;5.305240464344957
Viserion;5.321223789553945
Salladhor Saan;5.38827534039334
Irri;5.373390243902442
Stiv;5.381575091575091
Lollys Stokeworth;5.428183098591546
Dontos Hollard;5.307649857278781
Drogon;5.2841151901516685
Razdal mo Eraz;5.266010695187164
Kovarro;5.350264550264552
Stannis Baratheon;5.289955261274153
Sandor Clegane;5.241360621998637
Shireen Baratheon;5.402750385208006
Kraznys mo Nakloz;5.293876852907637
Zanrush;5.452416356877324
Melessa Tarly;5.4982954545454525
Willis Wode;5.377918781725888
Othell Yarwyck;5.361683501683495
Cressen;5.287706935123048
Myranda;5.316816196903527
Ghost;5.230560964302273
Alton Lannister;5.286601164483261
Gared;5.360957683741644
Spice King;5.37939297124601
Theon Greyjoy;5.287300257258367
Izembaro;5.384613899613895
Ryger Rivers;5.62071146245059
Catelyn Stark;5.347840240554308
Doran Martell;5.293709232889293
Will;5.397166666666663
Harry Strickland;5.3670090293453665
Mag Mar Tun Doh Weg;5.299940191387558
Olly;5.308616386326637
Stevron Frey;5.35748310810811
Tywin Lannister;5.3375324102654575
Quaithe;5.374217335058217
Mhaegen;5.476666666666668
Varys;5.3025071562530615
Beric Dondarrion;5.222868094105199
Hot Pie;5.291187181354701
Daisy;5.387769423558899
Trystane Martell;5.354419410745235
Lady Crane;5.391628787878782
Talisa Stark;5.386459172464294
Sansa Stark;5.3685910266501695
Gilly;5.388548752834461
Handmaiden;5.542580645161291
Jafer Flowers;5.298186397984888
Shagga;5.310368663594472
Old Nan;5.348959276018095
Craster;5.321981731532962
Eddard Stark;5.355482315112542
Dickon Tarly;5.3434830729166585
Hodor;5.3635071090047335
Orell;5.29431884057971
Summer;5.433703319502077
Tycho Nestoris;5.395151515151514
Hizdahr zo Loraq;5.300924488355685
Rickon Stark;5.313240366972471
Thoros;5.317642192347457
Timett;5.272974358974361
Robett Glover;5.340225913621265
Tyene Sand;5.388293153326899
Aemon;5.354739325312575
Ilyn Payne;5.289945694336693
Jhiqui;5.38193370165746
Nymeria Sand;5.388055098684207
Thenn warg;5.397267441860468
Eddison Tollett;5.279233838786908
Robin Arryn;5.38969967291109
Joffrey Baratheon;5.2841211683352265
Greizhen mo Ullhor;5.293176795580112
Ternesio Terys;5.4919154929577445
Loboda;5.278320895522389
Brienne of Tarth;5.356050652510497
Daario Naharis;5.303957062698226
Kurleket;5.431104815864024
Martyn Lannister;5.307865612648221
Masha Heddle;5.333669201520912
Jaremy Rykker;5.332219387755103
Barristan Selmy;5.272091342204692
Tobho Mott;5.3640845070422545
Yezzan zo Qaggaz;5.221754756871033
Robb Stark;5.266820009350162
Gerold Hightower;5.285056497175135
Daenerys Targaryen;5.331952441578689
High Septon;5.34918699186992
White Walker;5.484662162162162
Greatjon Umber;5.321268882175225
Locke;5.290197386711145
Ned Umber;5.3648079877112105
Qotho;5.283053435114502
Tyrion Lannister;5.330712363687872
Lhara;5.57599099099099
Lysa Arryn;5.35805928237129
Silk King;5.417244094488189
Gold Cloak;5.678750000000002
Melisandre;5.317366724522695
Amory Lorch;5.200066413662235
Tormund;5.269829988851728
Nymeria;5.427471852610032
Marei;5.4012509476876405
Bran Stark;5.342245274319961
Maggy;5.414292828685264
Black Lorren;5.286878612716762
Bronn;5.306907257529524
Talla Tarly;5.550861678004528
Biter;5.199988344988343
Loras Tyrell;5.360774203247146
Margaery Tyrell;5.397065691158148
Mordane;5.348628571428566
Rhaegar Targaryen;5.34125051702745
Bianca;5.349843749999999
Aeron Greyjoy;5.322579241765065
Edmure Tully;5.332084388185654
Smalljon Umber;5.298232385661306
Viserys I Targaryen;5.395976358263251
Joyeuse Frey;5.484322820037104
Prendahl na Ghezn;5.417836990595613
Othor;5.2241814595660765
Varly;5.441951219512195
Mero;5.372208333333333
Rhaenys Targaryen;5.488051251489865
Leaf;5.4417147707979625
Drogo;5.332370532458054
Vala;5.387193973634654
Cersei Lannister;5.3314287385911605
Aegon II Targaryen;5.437437632135304
Ramsay Bolton;5.29375329566856
Mord;5.33378571428571
Child of the Forest;5.535646067415729
Gatins;5.27300366300366
Ellaria Sand;5.3055996511120895
Royal Steward;5.395107913669064
Meera Reed;5.359961333977753
Lancel Lannister;5.318203708829232
Yoren;5.272978322337421
Rakharo;5.2847368421052625
Rast;5.245075144508667
Rodrik Cassel;5.294664948453604
Colen of Greenpools;5.34147465437788
Vardis Egen;5.372113636363634
Rhaego;5.409707057256992
